t,u,v
4.846390460845294984e-02,-2.988610726391306531e-03,1.327669199000660605e+00
4.851817549827204534e-02,-2.983468653902063544e-03,1.328416148061585034e+00
4.857244638809114085e-02,-2.978338541920145990e-03,1.329162455706485613e+00
4.862671727791023635e-02,-2.973220382815451590e-03,1.329908127602140500e+00
4.868098816772933185e-02,-2.968114168994426955e-03,1.330653169418262838e+00
4.873525905754842735e-02,-2.963019892900378097e-03,1.331397586827588242e+00
4.878952994736752979e-02,-2.957937547013779651e-03,1.332141385505961395e+00
4.884380083718662530e-02,-2.952867123852588854e-03,1.332884571132421314e+00
4.889807172700572080e-02,-2.947808615972550422e-03,1.333627149389290167e+00
4.895234261682481630e-02,-2.942762015967509241e-03,1.334369125962258762e+00
